time,agent_ip_address,manager_ip_address,port_number,action,community_string,value,description
2023-03-27 03:23:12.008635,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = 
2023-03-27 03:23:35.744065,127.0.0.1,192.168.140.2,161,SET,Tamer,el beet,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:23:55.239907,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:56.373045,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:57.276945,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:57.469913,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:57.667495,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:57.855253,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:58.106138,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:58.246795,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:23:58.406357,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysServices.0 = 76
2023-03-27 03:24:06.764420,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-SMI::mib-2.2.1.0 = 69
2023-03-27 03:24:13.690687,127.0.0.1,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-SMI::mib-2.2.1.0 = 69
2023-03-27 03:24:22.642357,127.0.0.1,192.168.140.2,161,GET,Tamer,,noSuchName at 1.3.6.1.2.1.1.15.0
2023-03-27 03:24:40.502384,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-SMI::org.1.2.1.1.5.0 = No Such Object currently exists at this OID
2023-03-27 03:34:29.232593,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:35.747465,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:35.884941,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:36.118458,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:36.212213,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:36.584446,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:36.678153,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:36.956746,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:37.081746,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:38.517993,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:38.625197,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:38.895161,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:39.048638,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:39.281363,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:39.390737,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:39.685338,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:34:39.795066,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-28 03:34:36.678153,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-28 03:34:36.956746,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-28 03:34:37.081746,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-28 03:34:38.517993,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-29 03:34:38.625197,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-29 03:34:38.895161,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-29 03:34:39.048638,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-22 03:34:39.281363,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-23 03:34:39.390737,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-23 03:34:39.685338,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-26 03:34:39.795066,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet2023-03-27 03:54:16.102688,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:54:17.316971,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:54:17.456084,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:54:18.317373,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:54:18.425174,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-27 03:54:18.759048,127.0.0.1,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = el beet
2023-03-29 17:28:20.877096,192.168.1.181,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysName.0 = MTA
2023-03-29 17:28:25.656568,192.168.1.181,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysName.0 = MTA
2023-03-29 17:28:26.599830,192.168.1.181,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysName.0 = MTA
2023-03-29 17:28:32.059437,192.168.1.181,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysLocation.0 = 
2023-03-29 17:28:33.159447,192.168.1.181,192.168.140.2,161,GETNEXT,Tamer,,SNMPv2-MIB::sysLocation.0 = 
2023-03-29 17:28:45.249851,192.168.1.181,192.168.140.2,161,SET,Tamer,henaaak,SNMPv2-MIB::sysLocation.0 = henaaak
2023-03-29 17:28:50.539865,192.168.1.181,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = henaaak
2023-03-29 17:28:51.690008,192.168.1.181,192.168.140.2,161,GET,Tamer,,SNMPv2-MIB::sysLocation.0 = henaaak
